variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
561170,1,,,
561171,1,,,
561172,0,,,
561173,0,,,
561174,0,,,
561175,0,,,
561176,0,,,
561177,1,,,
561178,1,,,
577393,1,,,
577394,1,,,
577395,1,,,
577396,1,,,
577397,1,,,
577398,1,,,
577399,1,,,
577400,1,,,
577401,1,,,
577402,1,,,
577403,1,,,
577404,1,,,
577405,1,,,
577406,1,,,
577407,0,,,
577408,0,,,
577409,0,,,
577410,0,,,
577411,0,,,
577412,0,,,
577413,0,,,
577414,0,,,
577415,0,,,
577416,0,,,
577417,0,,,
577418,0,,,
577419,0,,,
577420,0,,,
577421,0,,,
577422,0,,,
577423,0,,,
577425,0,,,
577426,0,,,
577427,0,,,
577428,0,,,
577429,0,,,
577430,0,,,
577431,0,,,
577432,0,,,
577434,0,,,
577435,0,,,
577436,0,,,
577437,0,,,
577438,0,,,
577439,0,,,
577440,0,,,
577442,0,,,
577443,1,,,
577444,1,,,
577446,0,,,
603259,1,,,
603260,1,,,
603261,1,,,
603262,1,,,
603263,1,,,
603264,1,,,
603265,1,,,
603266,1,,,
603267,1,,,
603268,1,,,
603269,1,,,
603270,1,,,
603271,0,,,
603272,0,,,
603273,0,,,
603274,0,,,
603275,0,,,
603276,0,,,
603277,0,,,
603278,0,,,
603279,0,,,
603280,0,,,
603281,0,,,
603282,0,,,
603283,0,,,
603284,0,,,
603285,0,,,
603286,0,,,
603287,0,,,
603288,0,,,
603289,0,,,
603290,0,,,
603291,0,,,
603292,0,,,
603293,0,,,
603294,0,,,
603295,0,,,
603296,0,,,
603297,0,,,
603298,0,,,
603299,0,,,
603300,0,,,
603301,0,,,
603302,0,,,
603303,0,,,
603304,0,,,
603305,0,,,
603306,0,,,
603307,0,,,
603308,0,,,
603309,0,,,
603310,0,,,
603311,0,,,
603312,0,,,
603313,0,,,
603314,0,,,
603316,0,,,
603317,0,,,
603318,0,,,
603319,0,,,
603320,0,,,
603321,0,,,
603322,0,,,
603323,0,,,
603324,0,,,
603325,0,,,
603326,0,,,
603327,0,,,
603328,0,,,
603329,0,,,
603330,0,,,
603331,0,,,
603332,0,,,
603333,0,,,
603334,0,,,
603335,0,,,
603336,0,,,
603337,0,,,
603338,0,,,
603339,0,,,
603340,0,,,
603341,0,,,
603342,0,,,
603343,0,,,
603344,0,,,
603345,1,,,
603346,1,,,
603347,1,,,
603348,1,,,
603349,1,,,
603350,1,,,
603351,0,,,
603352,0,,,
603353,0,,,
603354,0,,,
603355,0,,,
603356,0,,,
603357,0,,,
603358,0,,,
603359,0,,,
603360,0,,,
603361,0,,,
603362,0,,,
603363,0,,,
603364,0,,,
603365,0,,,
603366,0,,,
603367,0,,,
603368,0,,,
603369,0,,,
603370,0,,,
